STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; SONNENSCHEINDAUER;GLOBAL_KW_J;DIFFUS_HIMMEL_KW_J;ATMOSPHAERE_LW_J;eor
     4271;19980101;   1;   -999;     -999;     -999;     -999;eor
     4271;19980102;   1;   -999;     -999;     -999;     -999;eor
     4271;19980103;   1;   -999;     -999;     -999;     -999;eor
     4271;19980104;   1;   -999;     -999;     -999;     -999;eor
     4271;19980105;   1;   -999;     -999;     -999;     -999;eor
     4271;19980106;   1;   -999;     -999;     -999;     -999;eor
     4271;19980107;   1;   -999;     -999;     -999;     -999;eor
     4271;19980108;   1;   -999;     -999;     -999;     -999;eor
     4271;19980109;   1;   -999;     -999;     -999;     -999;eor
     4271;19980110;   1;   -999;     -999;     -999;     -999;eor
     4271;19980111;   1;   -999;     -999;     -999;     -999;eor
     4271;19980112;   1;   -999;     -999;     -999;     -999;eor
     4271;19980113;   1;   -999;     -999;     -999;     -999;eor
     4271;19980114;   1;   -999;     -999;     -999;     -999;eor
     4271;19980115;   1;   -999;     -999;     -999;     -999;eor
     4271;19980116;   1;   -999;     -999;     -999;     -999;eor
     4271;19980117;   1;   -999;     -999;     -999;     -999;eor
     4271;19980118;   1;   -999;     -999;     -999;     -999;eor
     4271;19980119;   1;   -999;     -999;     -999;     -999;eor
     4271;19980120;   1;   -999;     -999;     -999;     -999;eor
     4271;19980121;   1;   -999;     -999;     -999;     -999;eor
     4271;19980122;   1;   -999;     -999;     -999;     -999;eor
     4271;19980123;   1;   -999;     -999;     -999;     -999;eor
     4271;19980124;   1;   -999;     -999;     -999;     -999;eor
     4271;19980125;   1;   -999;     -999;     -999;     -999;eor
     4271;19980126;   1;   -999;     -999;     -999;     -999;eor
     4271;19980127;   1;   -999;     -999;     -999;     -999;eor
     4271;19980128;   1;   -999;     -999;     -999;     -999;eor
     4271;19980129;   1;   -999;     -999;     -999;     -999;eor
     4271;19980130;   1;   -999;     -999;     -999;     -999;eor
     4271;19980131;   1;   -999;     -999;     -999;     -999;eor
     4271;19980201;   1;   -999;     -999;     -999;     -999;eor
     4271;19980202;   1;   -999;     -999;     -999;     -999;eor
     4271;19980203;   1;   -999;     -999;     -999;     -999;eor
     4271;19980204;   1;   -999;     -999;     -999;     -999;eor
     4271;19980205;   1;   -999;     -999;     -999;     -999;eor
     4271;19980206;   1;   -999;     -999;     -999;     -999;eor
     4271;19980207;   1;   -999;     -999;     -999;     -999;eor
     4271;19980208;   1;   -999;     -999;     -999;     -999;eor
     4271;19980209;   1;   -999;     -999;     -999;     -999;eor
     4271;19980210;   1;   -999;     -999;     -999;     -999;eor
     4271;19980211;   1;   -999;     -999;     -999;     -999;eor
     4271;19980212;   1;   -999;     -999;     -999;     -999;eor
     4271;19980213;   1;   -999;     -999;     -999;     -999;eor
     4271;19980214;   1;   -999;     -999;     -999;     -999;eor
     4271;19980215;   1;   -999;     -999;     -999;     -999;eor
     4271;19980216;   1;   -999;     -999;     -999;     -999;eor
     4271;19980217;   1;   -999;     -999;     -999;     -999;eor
     4271;19980218;   1;   -999;     -999;     -999;     -999;eor
     4271;19980219;   1;   -999;     -999;     -999;     -999;eor
     4271;19980220;   1;   -999;     -999;     -999;     -999;eor
     4271;19980221;   1;   -999;     -999;     -999;     -999;eor
     4271;19980222;   1;   -999;     -999;     -999;     -999;eor
     4271;19980223;   1;   -999;     -999;     -999;     -999;eor
     4271;19980224;   1;   -999;     -999;     -999;     -999;eor
     4271;19980225;   1;   -999;     -999;     -999;     -999;eor
     4271;19980226;   1;   -999;     -999;     -999;     -999;eor
     4271;19980227;   1;   -999;     -999;     -999;     -999;eor
     4271;19980228;   1;   -999;     -999;     -999;     -999;eor
     4271;19980301;   1;   -999;     -999;     -999;     -999;eor
     4271;19980302;   1;   -999;     -999;     -999;     -999;eor
     4271;19980303;   1;   -999;     -999;     -999;     -999;eor
     4271;19980304;   1;   -999;     -999;     -999;     -999;eor
     4271;19980305;   1;   -999;     -999;     -999;     -999;eor
     4271;19980306;   1;   -999;     -999;     -999;     -999;eor
     4271;19980307;   1;   -999;     -999;     -999;     -999;eor
     4271;19980308;   1;   -999;     -999;     -999;     -999;eor
     4271;19980309;   1;   -999;     -999;     -999;     -999;eor
     4271;19980310;   1;   -999;     -999;     -999;     -999;eor
     4271;19980311;   1;   -999;     -999;     -999;     -999;eor
     4271;19980312;   1;   -999;     -999;     -999;     -999;eor
     4271;19980313;   1;   -999;     -999;     -999;     -999;eor
     4271;19980314;   1;   -999;     -999;     -999;     -999;eor
     4271;19980315;   1;   -999;     -999;     -999;     -999;eor
     4271;19980316;   1;   -999;     -999;     -999;     -999;eor
     4271;19980317;   1;   -999;     -999;     -999;     -999;eor
     4271;19980318;   1;   -999;     -999;     -999;     -999;eor
     4271;19980319;   1;   -999;     -999;     -999;     -999;eor
     4271;19980320;   1;   -999;     -999;     -999;     -999;eor
     4271;19980321;   1;   -999;     -999;     -999;     -999;eor
     4271;19980322;   1;   -999;     -999;     -999;     -999;eor
     4271;19980323;   1;   -999;     -999;     -999;     -999;eor
     4271;19980324;   1;   -999;     -999;     -999;     -999;eor
     4271;19980325;   1;   -999;     -999;     -999;     -999;eor
     4271;19980326;   1;   -999;     -999;     -999;     -999;eor
     4271;19980327;   1;   -999;     -999;     -999;     -999;eor
     4271;19980328;   1;   -999;     -999;     -999;     -999;eor
     4271;19980329;   1;   -999;     -999;     -999;     -999;eor
     4271;19980330;   1;   -999;     -999;     -999;     -999;eor
     4271;19980331;   1;   -999;     -999;     -999;     -999;eor
     4271;19980401;   1;   -999;     -999;     -999;     -999;eor
     4271;19980402;   1;   -999;     -999;     -999;     -999;eor
     4271;19980403;   1;   -999;     -999;     -999;     -999;eor
     4271;19980404;   1;   -999;     -999;     -999;     -999;eor
     4271;19980405;   1;   -999;     -999;     -999;     -999;eor
     4271;19980406;   1;   -999;     -999;     -999;     -999;eor
     4271;19980407;   1;   -999;     -999;     -999;     -999;eor
     4271;19980408;   1;   -999;     -999;     -999;     -999;eor
     4271;19980409;   1;   -999;     -999;     -999;     -999;eor
     4271;19980410;   1;   -999;     -999;     -999;     -999;eor
     4271;19980411;   1;   -999;     -999;     -999;     -999;eor
     4271;19980412;   1;   -999;     -999;     -999;     -999;eor
     4271;19980413;   1;   -999;     -999;     -999;     -999;eor
     4271;19980414;   1;   -999;     -999;     -999;     -999;eor
     4271;19980415;   1;   -999;     -999;     -999;     -999;eor
     4271;19980416;   1;   -999;     -999;     -999;     -999;eor
     4271;19980417;   1;   -999;     -999;     -999;     -999;eor
     4271;19980418;   1;   -999;     -999;     -999;     -999;eor
     4271;19980419;   1;   -999;     -999;     -999;     -999;eor
     4271;19980420;   1;   -999;     -999;     -999;     -999;eor
     4271;19980421;   1;   -999;     -999;     -999;     -999;eor
     4271;19980422;   1;   -999;     -999;     -999;     -999;eor
     4271;19980423;   1;   -999;     -999;     -999;     -999;eor
     4271;19980424;   1;   -999;     -999;     -999;     -999;eor
     4271;19980425;   1;   -999;     -999;     -999;     -999;eor
     4271;19980426;   1;   -999;     -999;     -999;     -999;eor
     4271;19980427;   1;   -999;     -999;     -999;     -999;eor
     4271;19980428;   1;   -999;     -999;     -999;     -999;eor
     4271;19980429;   1;   -999;     -999;     -999;     -999;eor
     4271;19980430;   1;   -999;     -999;     -999;     -999;eor
     4271;19980501;   1;   -999;     -999;     -999;     -999;eor
     4271;19980502;   1;   -999;     -999;     -999;     -999;eor
     4271;19980503;   1;   -999;     -999;     -999;     -999;eor
     4271;19980504;   1;   -999;     -999;     -999;     -999;eor
     4271;19980505;   1;   -999;     -999;     -999;     -999;eor
     4271;19980506;   1;   -999;     -999;     -999;     -999;eor
